Year,ID,ID_direction,seq,Origin,Destination,stocks_origin,stocks_destination,stocks_bilateral,flow_origin,flow_destination,scaled_sci,SP_POP_TOTL_origin,SP_POP_TOTL_destination,SP_TOTOAL_bilateral,Region_origin,Region_destination,Region_sub_origin,Region_sub_destination,Income_origin,Income_destination,flow_region,flow_subregion,flow_income,Code_destination,Code_origin,iso2_origin,iso2_destination
2019,AEAT,AEAT,1,United Arab Emirates,Austria,207,,5.33271879326537,31,,8.53915035876828,9770529,8877067,18647596,Asia,Europe,Western Asia,Western Europe,High income,High income,Asia to Europe,Western Asia to Western Europe,High income to High income,40,784,AE,AT
2019,AEAU,AEAU,1,United Arab Emirates,Australia,10939,,9.30008966411979,2849,,9.61159663531029,9770529,25364307,35134836,Asia,Oceania,Western Asia,Australia and New Zealand,High income,High income,Asia to Oceania,Western Asia to Australia and New Zealand,High income to High income,36,784,AE,AU
2019,AEBD,BDAE,1,Bangladesh,United Arab Emirates,1079013,,13.8915572923605,74402,,11.3777241073014,163046161,9770529,172816690,Asia,Asia,Southern Asia,Western Asia,Lower middle income,High income,Asia to Asia,Southern Asia to Western Asia,Lower middle income to High income,784,50,BD,AE
2019,AEBG,AEBG,1,United Arab Emirates,Bulgaria,285,,5.65248918026865,134,,8.01697774676226,9770529,6975761,16746290,Asia,Europe,Western Asia,Eastern Europe,High income,Upper middle income,Asia to Europe,Western Asia to Eastern Europe,High income to Upper middle income,100,784,AE,BG
2019,AEBH,BHAE,1,Bahrain,United Arab Emirates,1969,4253,8.73584667745758,135,212,12.5912057862664,1641172,9770529,11411701,Asia,Asia,Western Asia,Western Asia,High income,High income,Asia to Asia,Western Asia to Western Asia,High income to High income,784,48,BH,AE
2019,AEBH,AEBH,2,United Arab Emirates,Bahrain,4253,1969,8.73584667745758,212,135,12.5912057862664,9770529,1641172,11411701,Asia,Asia,Western Asia,Western Asia,High income,High income,Asia to Asia,Western Asia to Western Asia,High income to High income,48,784,AE,BH
2019,AEBR,AEBR,1,United Arab Emirates,Brazil,43,,3.76120011569356,4,,7.14834574390007,9770529,211049527,220820056,Asia,Americas,Western Asia,Latin America and the Caribbean,High income,Upper middle income,Asia to Americas,Western Asia to Latin America and the Caribbean,High income to Upper middle income,76,784,AE,BR
2019,AEBY,AEBY,1,United Arab Emirates,Belarus,22,,3.09104245335832,-1,,8.36590507720246,9770529,9466856,19237385,Asia,Europe,Western Asia,Eastern Europe,High income,Upper middle income,Asia to Europe,Western Asia to Eastern Europe,High income to Upper middle income,112,784,AE,BY
2019,AECA,AECA,1,United Arab Emirates,Canada,22360,,10.015028927269,1494,,9.65534665470488,9770529,37589262,47359791,Asia,Americas,Western Asia,Northern America,High income,High income,Asia to Americas,Western Asia to Northern America,High income to High income,124,784,AE,CA
2019,AECH,AECH,1,United Arab Emirates,Switzerland,761,,6.63463335786169,167,,8.9398431242785,9770529,8574832,18345361,Asia,Europe,Western Asia,Western Europe,High income,High income,Asia to Europe,Western Asia to Western Europe,High income to High income,756,784,AE,CH
2019,AECL,AECL,1,United Arab Emirates,Chile,20,,2.99573227355399,5,,6.51767127291228,9770529,18952038,28722567,Asia,Americas,Western Asia,Latin America and the Caribbean,High income,High income,Asia to Americas,Western Asia to Latin America and the Caribbean,High income to High income,152,784,AE,CL
2019,AECO,AECO,1,United Arab Emirates,Colombia,42,,3.73766961828337,0,,7.36391350140582,9770529,50339443,60109972,Asia,Americas,Western Asia,Latin America and the Caribbean,High income,Upper middle income,Asia to Americas,Western Asia to Latin America and the Caribbean,High income to Upper middle income,170,784,AE,CO
2019,AECY,AECY,1,United Arab Emirates,Cyprus,157,,5.05624580534831,-1,,10.4078322202024,9770529,1198575,10969104,Asia,Asia,Western Asia,Western Asia,High income,High income,Asia to Asia,Western Asia to Western Asia,High income to High income,196,784,AE,CY
2019,AECZ,AECZ,1,United Arab Emirates,Czechia,127,,4.84418708645859,60,,7.62070508683826,9770529,10669709,20440238,Asia,Europe,Western Asia,Eastern Europe,High income,High income,Asia to Europe,Western Asia to Eastern Europe,High income to High income,203,784,AE,CZ
